,video_id,artist,song
38469,592KTCoUuUg,Kesha,Hymn
38510,swqmsRWM4rY,"Calvin Harris, Dua Lipa",One Kiss (ZHU Remix) (Audio)
38523,TuTDc9d_9yI,Florida Georgia Line,Simple (Lyric Version)
38530,66Zw9sKfjOE,"J. Balvin, Wisin, Yandel",Peligrosa (Audio)
38533,f_akFYKDA64,Luke Combs,Must've Never Met You
38623,X1lidUMNsnw,Pop Evil,A Crime To Remember
38722,swqmsRWM4rY,"Calvin Harris, Dua Lipa",One Kiss (ZHU Remix) (Audio)
38765,66Zw9sKfjOE,"J. Balvin, Wisin, Yandel",Peligrosa (Audio)
38774,TuTDc9d_9yI,Florida Georgia Line,Simple (Lyric Version)
38798,f_akFYKDA64,Luke Combs,Must've Never Met You
39007,swqmsRWM4rY,"Calvin Harris, Dua Lipa",One Kiss (ZHU Remix) (Audio)
39008,tN_8CwE8ULI,Meghan Trainor,Let You Be Right
