,video_id,artist,song
17613,4uTNVumfm84,Maroon 5,Wait
17683,SXMhL_UoVWw,Rich The Kid,Plug Walk (Audio)
17809,4uTNVumfm84,Maroon 5,Wait
17880,SXMhL_UoVWw,Rich The Kid,Plug Walk (Audio)
17886,fpAopipfdAs,Davido,Flora My Flawa
18061,fpAopipfdAs,Davido,Flora My Flawa
18240,izIyhdEHSPo,Khalid & Normani,Love Lies (Audio)
18290,fpAopipfdAs,Davido,Flora My Flawa
18349,VwAnsAUYnw4,"Jay Rock, Kendrick Lamar, Future, James Blake",King's Dead
18419,izIyhdEHSPo,Khalid & Normani,Love Lies (Audio)
18459,jDnWeqmEiqc,Machine Gun Kelly,The Break Up
18482,aVOh7jFjFpQ,Tory Lanez,B.I.D (Audio)
18550,VwAnsAUYnw4,"Jay Rock, Kendrick Lamar, Future, James Blake",King's Dead
18575,xYtsL9znopI,Khalid & Normani,Love Lies
18581,_hMQe2U4c6w,The Chainsmokers,You Owe Me
18714,jDnWeqmEiqc,Machine Gun Kelly,The Break Up
18720,aVOh7jFjFpQ,Tory Lanez,B.I.D (Audio)
18726,7CJ1LGcsdYs,Popcaan,Family
18728,EYspF1qHhEI,Three Days Grace,I Am An Outsider (Audio)
18732,m4-sL1r9i1I,Demi Lovato,Tell Me You Love Me (Acoustic)
18749,VwAnsAUYnw4,"Jay Rock, Kendrick Lamar, Future, James Blake",King's Dead
18765,xYtsL9znopI,Khalid & Normani,Love Lies
18774,_hMQe2U4c6w,The Chainsmokers,You Owe Me
18944,xpVfcZ0ZcFM,Drake,God’s Plan
18958,VwAnsAUYnw4,"Jay Rock, Kendrick Lamar, Future, James Blake",King's Dead
18998,xYtsL9znopI,Khalid & Normani,Love Lies
19027,_hMQe2U4c6w,The Chainsmokers,You Owe Me
19146,xpVfcZ0ZcFM,Drake,God’s Plan
19187,VwAnsAUYnw4,"Jay Rock, Kendrick Lamar, Future, James Blake",King's Dead
19273,xYtsL9znopI,Khalid & Normani,Love Lies
19329,_hMQe2U4c6w,The Chainsmokers,You Owe Me
19346,xpVfcZ0ZcFM,Drake,God’s Plan
19525,VwAnsAUYnw4,"Jay Rock, Kendrick Lamar, Future, James Blake",King's Dead
19562,xpVfcZ0ZcFM,Drake,God’s Plan
19581,#NAME?,Imagine Dragons,Next To Me (Audio)
19776,#NAME?,Imagine Dragons,Next To Me (Audio)
19805,xpVfcZ0ZcFM,Drake,God’s Plan
19843,6-lostV6sk8,Sam Smith,Too Good At Goodbyes (Live at BRIT Awards 2018)
19987,#NAME?,Imagine Dragons,Next To Me (Audio)
20055,xpVfcZ0ZcFM,Drake,God’s Plan
20126,lMjqGl3UDCk,Breaking Benjamin,Blood (Audio Only)
20137,6-lostV6sk8,Sam Smith,Too Good At Goodbyes (Live at BRIT Awards 2018)
20234,#NAME?,Imagine Dragons,Next To Me (Audio)
20499,3nVkhp2xtHg,Olamide,Science Student
20515,#NAME?,Imagine Dragons,Next To Me (Audio)
20599,BQ31l1gPGKM,J. Balvin,Ahora
20650,3nVkhp2xtHg,Olamide,Science Student
20829,BQ31l1gPGKM,J. Balvin,Ahora
